id,observed_on,user_id,latitude,longitude,field:colour,field:head capsule visible
12930036,2018-05-29,992430,30.2650423173,-97.752365747,Red,
12933236,2018-05-29,994388,34.8647810238,-80.8996726886,Black,
12973718,2018-05-30,461665,35.250305394,-97.438420838,,
12989810,2018-05-31,977157,28.0739917187,-82.3766061758,Black,
12992282,2018-05-31,979403,28.0734028333,-82.3776383333,Black,
13002997,2018-05-31,975179,28.073871,-82.375376,Black,
13018816,2018-05-21,588853,41.912648879,-74.1081993229,,
13022039,2018-06-01,976205,28.0760192871,-82.3758850098,Black,
13029683,2018-04-08,27047,29.7025111111,-101.3647027778,,
13033798,2018-06-01,133037,28.8207216667,-96.962945,Black,
13039857,2018-06-01,313458,36.7917277,-94.1564873,Black,
13048348,2018-06-02,394806,30.2509383333,-97.8133466667,Red,
13053336,2018-06-02,967999,28.0755333333,-82.3758166667,Black,
13086453,2018-06-03,301120,45.363005,-75.863067,,
13097839,2018-06-03,968056,28.074155,-82.376256,Black,
13121623,2018-06-04,981688,27.8661364,-82.3264809,Red,
13122460,2018-06-02,712083,29.4629327728,-98.4734368013,Black,
13126958,2018-06-04,972911,29.463175,-98.4720616667,Red,
