"","observed_on","latitude","longitude","field.colour","RedMean","RedSD","RedMin","RedMax","RedKurt","RedSkew","GreenMean","GreenSD","GreenMin","GreenMax","GreenKurt","GreenSkew","BlueMean","BlueSD","BlueMin","BlueMax","BlueKurt","BlueSkew"
"7203","2020-08-07",33.99777,-86.60035,"Red",102.025816769477,49.3765705145081,0,255,-0.35986098362146,0.197704251693423,89.4585332419465,47.1009789891112,0,253,-0.319765152936565,0.190297501332599,66.1315969842358,40.8251137935182,0,248,-0.225809938176003,0.307741761074676
"7205","2020-08-08",42.964117124,-81.2581480667,"Black",174.7150997151,38.9451616565494,58,255,-0.279929536259293,0.355015023154501,168.631766381766,39.5502028852894,51,255,-0.117987559066403,0.359443914359114,142.527777777778,47.7732073644468,14,255,-0.433607976535372,0.511153562506534
"7206","2020-08-07",43.75098833,-79.929275,"Black",123.89961928934,39.9660371090954,0,251,0.415402875915909,-0.298326442256385,126.456725888325,40.248642182737,0,250,0.394791378563143,-0.153580504952677,85.3489847715736,36.174343200153,0,211,-0.0905547289237885,0.0318831919965882
"7209","2020-08-08",43.5484112283,-80.2273205551,"Black",150.880913539967,36.8156201695814,6,239,1.26106081543488,-0.767860678927201,140.605220228385,36.783502586389,1,221,0.696661233854071,-0.560054061540294,103.252854812398,33.7445096366639,0,188,-0.0905180447223017,-0.0936564710727287
"7212","2020-08-06",38.8638879,-92.2989696,"Red",128.840395144013,35.6888325822709,19,247,-0.0760138296352806,0.147157620490715,104.589502499405,34.6150617362233,3,229,0.0276492145748204,0.270640958286918,78.0884313258748,37.4860483438973,0,227,0.49520541016626,0.711670588181561
"7213","2020-07-21",42.0975204063,-76.8552283148,"Black",130.509971509972,42.6973975486534,32,227,-0.650574716641553,-0.153412083646381,113.860398860399,38.9716438871781,28,193,-0.809679129541465,-0.333714676799571,84.054131054131,38.5160438374145,0,168,-0.766268597719512,-0.301580502786109
"7217","2020-08-07",44.8538224864,-81.3468596079,"Black",218.514051883879,34.9528435137333,55,255,2.84697041210101,-1.62894731007456,201.643607164917,34.3263048391899,47,255,2.87938151367904,-1.57122652324224,163.437924644842,31.1611381716964,24,239,1.78447607830861,-1.08337729782207
"7222","2020-08-09",43.2024176253,-81.2751908228,"Black",106.221989528796,43.7809950891655,1,242,-0.508272380906415,0.0119384999923875,99.9026178010471,42.4804986567077,0,249,-0.425914412405437,0.0538750207633308,81.8958115183246,40.1862400810575,0,233,-0.30280375388765,0.145562675480866
"7224","2020-08-09",40.651571828,-73.9933007408,"Red",88.8402777777778,25.9826724071111,25,227,0.96608367652457,0.553009811820784,73.7177579365079,26.9061823122794,7,209,2.39915240650347,1.02411129490799,38.8675595238095,32.5352823648052,0,221,7.37827891553004,2.41144882942324
"7226","2020-08-09",35.3618840028,-83.3385107502,"Black",189.651948785539,33.2611534191673,9,249,1.74722254137938,-0.858706745296521,165.250800225946,30.7918620620679,12,228,0.801839406284364,-0.454056790236162,190.348521935605,37.4613352713945,21,255,0.191592463941356,-0.330491123231403
"7227","2020-08-09",43.9949277778,-77.6889138889,"Black",110.00772633809,43.2936087136949,0,216,-0.175943225248484,-0.512419020811827,102.447816063306,41.2898637751489,0,205,-0.28883759717827,-0.539627564740326,81.9279082808898,36.9880201344592,0,208,-0.446779152561345,-0.243900909976017
"7229","2020-08-06",45.24118,-81.51695333,"Black",194.277322404372,38.1761100553366,58,255,-0.168787344261003,-0.676040022372719,190.287226775956,35.2581840566529,58,255,0.218215792880691,-0.779294466917725,163.486680327869,31.1389837727127,43,249,0.246208555551127,-0.446707126895754
"7230","2020-08-09",44.0336111111,-80.1605555556,"Black",129.569192235441,59.9449078956485,15,255,-1.07039410032691,0.285385859952299,113.751408891672,60.1842009037863,0,254,-0.98969982444004,0.332394783243989,88.348778960551,51.9557885729777,0,244,-0.666389627070128,0.426794322482324
"7231","2020-08-09",44.426982278,-69.0021482442,"Black",192.011658717541,48.1765803775656,3,255,1.671051410364,-1.26785403254721,183.394806571277,48.2399274323332,0,255,1.63391704576232,-1.20956933070198,155.753577106518,45.0325934358211,0,236,1.13211018073515,-0.989948085967743
"7236","2020-08-07",44.444182093,-74.2597772656,"Black",191.207566638005,35.0658736011489,42,255,0.0476991516694834,-0.620318675400981,174.18796216681,31.4752335391158,33,248,0.31235325699563,-0.707980536942979,153.829234737747,32.900145571405,26,243,-0.0818560308981247,-0.483814488269989
"7237","2020-08-09",44.8120133465,-81.0765742511,"Black",122.585260892953,39.9616691757137,7,213,-0.502634904265474,-0.525018580457416,110.511565357719,36.9355656134078,4,186,-0.490154372778889,-0.494488768909835,78.6815492200108,29.6450428708213,0,144,-0.521964830034067,-0.323166738049158
"7238","2020-08-08",38.9156213889,-95.23329,"Black",169.110497237569,24.6016925857697,95,217,-0.0659198432116326,-0.571371371660879,198.762430939227,22.1959436397217,135,247,-0.122479948995892,-0.434744989532145,173.596685082873,31.6701364775372,93,240,-0.395495318544426,-0.443762799337203
"7239","2020-08-09",44.7287383333,-81.2771766667,"Black",80.1821460775473,40.4133955497348,0,219,-1.027452742072,0.145413281737842,71.5267508265705,37.4070722810513,0,219,-0.727074293285571,0.372223824185748,61.4800871656147,34.0713997112244,0,211,-0.323087147884539,0.584778114840761
"7242","2020-08-01",46.8394990208,-71.7605549097,"Black",112.237493128092,41.6931493593746,7,231,-0.475283604901842,-0.020010124022542,89.9664650907092,38.5983018770849,0,200,-0.468789501732743,-0.0300813717156491,64.2105552501374,31.8815736752526,0,186,-0.354326204813641,0.0136827094393814
"7245","2020-08-08",44.2493066,-76.4708879,"Black",162.119170984456,34.4895455278789,52,255,0.103807678014276,-0.157828875731623,153.60621761658,32.289437646618,46,255,0.342382376248243,-0.190084739458723,122.892672094745,30.2225993128485,6,236,0.488407141705416,-0.027388915862317
"7247","2020-08-08",43.1181346389,-72.0002195,"Black",74.1685542971352,34.2974086072872,17,160,-0.877972587689634,0.541729573724211,87.0339773484344,34.7535251656119,26,170,-0.98201591647554,0.456997433507231,82.674217188541,32.3585093620951,22,160,-0.884285444013227,0.560181108452585
"7248","2020-08-09",44.95497167,-75.72066333,"Black",165.108602806589,60.8693186342021,0,255,-0.543783618291435,-0.413012968353763,164.675411836486,61.0540430002388,1,255,-0.588645986228405,-0.369847656200256,141.91427699817,60.4546322528634,0,255,-0.867668443534169,-0.164232366213333
"7255","2020-08-08",39.63389667,-79.12251383,"Black",150.803335822753,57.8999528554415,0,255,-0.595493862615682,-0.254403199779948,152.213343291013,56.5386598793788,0,255,-0.563789054192165,-0.315423754456781,141.199153597212,50.9591437521545,0,250,-0.375636238087531,-0.385719639370289
"7258","2020-08-09",44.9984389722,-76.7218519722,"Black",161.844680851064,44.2132469182748,16,211,3.35021598792347,-2.08361519462978,120.968085106383,39.2762916497434,0,176,2.11333606513321,-1.65943092477143,72.6248226950355,33.5486525428657,0,148,-0.574223031279701,-0.423757810009476
"7259","2020-08-09",43.5669189238,-79.6865891665,"Black",132.5936935309,31.2324389472847,15,197,0.840283830707563,-1.03256090860802,126.622515359595,30.7536709627962,25,208,0.148632528564059,-0.529448011358614,6.75542103361041,8.57597728251591,0,75,3.0254446917986,1.67224113489563
"7260","2020-08-10",43.76168333,-70.13625283,"Black",170.985650094217,48.7397773914497,4,255,-0.112472073903087,-0.69560213973474,156.240324684737,46.9761195164472,2,252,0.0402918402842571,-0.753269412538426,118.808088128714,40.189129399296,0,240,0.259183888094295,-0.62791758132976
"7262","2020-08-10",44.4187189479,-80.7898534834,"Black",146.503915810083,41.7279251418477,2,255,0.0243473448197795,-0.488997502501236,137.094305759504,37.2253840078769,4,236,0.357728824729324,-0.643848610331111,107.189427312775,33.0203422135574,0,202,0.190230189772049,-0.413677716496012
